Target: Sat

Observer: ESOC
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2025 00:23:10.089    01 Jan 2025 00:31:25.736      495.64651164    
01 Jan 2025 01:59:44.272    01 Jan 2025 02:06:31.061      406.78926974    
01 Jan 2025 18:40:07.309    01 Jan 2025 18:46:03.812      356.50295120    
01 Jan 2025 20:14:42.427    01 Jan 2025 20:22:52.794      490.36693324    
01 Jan 2025 21:50:55.092    01 Jan 2025 21:59:10.801      495.70899904    
01 Jan 2025 23:27:17.568    01 Jan 2025 23:35:35.362      497.79316660    
02 Jan 2025 01:03:38.706    02 Jan 2025 01:11:18.040      459.33349603    
02 Jan 2025 17:46:01.510    02 Jan 2025 17:49:06.803      185.29220622    
02 Jan 2025 19:19:06.135    02 Jan 2025 19:26:57.758      471.62317772    
02 Jan 2025 20:54:59.788    02 Jan 2025 21:03:16.689      496.90147113    
02 Jan 2025 22:31:24.240    02 Jan 2025 22:39:40.720      496.47998944    
03 Jan 2025 00:07:41.803    03 Jan 2025 00:15:47.110      485.30678070    
03 Jan 2025 01:44:47.912    03 Jan 2025 01:49:53.594      305.68195725    
03 Jan 2025 18:23:44.876    03 Jan 2025 18:30:56.584      431.70785126    
03 Jan 2025 19:59:07.485    03 Jan 2025 20:07:23.823      496.33813495    
03 Jan 2025 21:35:29.476    03 Jan 2025 21:43:44.628      495.15173145    
03 Jan 2025 23:11:48.544    03 Jan 2025 23:20:04.273      495.72810695    


Number of events : 17


