Target: Sat3

Observer: ESOC
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2025 10:13:40.716    01 Jan 2025 10:25:00.335      679.61931241    
01 Jan 2025 11:56:58.524    01 Jan 2025 12:10:14.998      796.47425154    
01 Jan 2025 13:42:15.001    01 Jan 2025 13:55:21.427      786.42623032    
01 Jan 2025 15:27:44.745    01 Jan 2025 15:40:55.081      790.33616215    
01 Jan 2025 17:12:47.134    01 Jan 2025 17:25:58.988      791.85353788    
01 Jan 2025 18:58:15.830    01 Jan 2025 19:08:38.974      623.14391528    
02 Jan 2025 09:43:23.419    02 Jan 2025 09:54:09.531      646.11227824    
02 Jan 2025 11:26:18.786    02 Jan 2025 11:39:32.075      793.28946664    
02 Jan 2025 13:11:27.712    02 Jan 2025 13:24:36.001      788.28888744    
02 Jan 2025 14:56:59.715    02 Jan 2025 15:10:07.799      788.08344825    
02 Jan 2025 16:42:04.207    02 Jan 2025 16:55:20.168      795.96052689    
02 Jan 2025 18:27:23.445    02 Jan 2025 18:38:24.335      660.89012066    
03 Jan 2025 09:13:10.629    03 Jan 2025 09:23:15.961      605.33204750    
03 Jan 2025 10:55:40.704    03 Jan 2025 11:08:49.024      788.32016084    
03 Jan 2025 12:40:40.669    03 Jan 2025 12:53:51.031      790.36189690    
03 Jan 2025 14:26:14.232    03 Jan 2025 14:39:20.319      786.08693455    
03 Jan 2025 16:11:21.367    03 Jan 2025 16:24:39.746      798.37851946    
03 Jan 2025 17:56:33.540    03 Jan 2025 18:08:05.468      691.92713202    


Number of events : 18


